runName,names,values
single_adaptive_high_custom2,p,4
single_adaptive_high_custom2,r,70
single_adaptive_high_custom2,q,1
single_adaptive_high_custom2,a,0.7
single_adaptive_high_custom2,b,3
single_adaptive_high_custom2,n,4
single_adaptive_high_custom2,v,20
single_adaptive_high_custom2,probMut,0
single_adaptive_high_custom2,expDist,1.3
single_adaptive_high_custom2,kc,0.3
single_adaptive_high_custom2,VtoD,0
single_adaptive_high_custom2,s0,499900
single_adaptive_high_custom2,i0,100
single_adaptive_high_custom2,r0,0
single_adaptive_high_custom2,c,0.38
single_adaptive_high_custom2,mu,3.91E-05
single_adaptive_high_custom2,w,0.04
single_adaptive_high_custom2,g,0.303030303
single_adaptive_high_custom2,iniBind,0.7
single_adaptive_high_custom2,meanBoost,8
single_adaptive_high_custom2,iniDist,3
single_adaptive_high_custom2,saveFreq,5
single_adaptive_high_custom2,maxTitre,40
