runName,names,values
single_adaptive_high,p,4
single_adaptive_high,r,70
single_adaptive_high,q,1
single_adaptive_high,a,0.7
single_adaptive_high,b,3
single_adaptive_high,n,4
single_adaptive_high,v,1
single_adaptive_high,probMut,0
single_adaptive_high,expDist,1.3
single_adaptive_high,kc,0.3
single_adaptive_high,VtoD,0
single_adaptive_high,s0,499900
single_adaptive_high,i0,100
single_adaptive_high,r0,0
single_adaptive_high,c,0.7
single_adaptive_high,mu,3.91E-05
single_adaptive_high,w,0.04
single_adaptive_high,g,0.303030303
single_adaptive_high,iniBind,0.7
single_adaptive_high,meanBoost,8
single_adaptive_high,iniDist,3
single_adaptive_high,saveFreq,5
single_adaptive_high,maxTitre,40
