runName,names,values
single_fixed,p,4
single_fixed,r,70
single_fixed,q,1
single_fixed,a,0.7
single_fixed,b,3
single_fixed,n,4
single_fixed,v,1
single_fixed,probMut,0
single_fixed,expDist,1.3
single_fixed,kc,0
single_fixed,VtoD,0
single_fixed,s0,499900
single_fixed,i0,100
single_fixed,r0,0
single_fixed,c,0.7
single_fixed,mu,3.91E-05
single_fixed,w,0.04
single_fixed,g,0.303030303
single_fixed,iniBind,0.45
single_fixed,meanBoost,8
single_fixed,iniDist,3
single_fixed,saveFreq,5
single_fixed,maxTitre,25
